ID;Titulo;Edad Minima;Edad Maxima;Instrumento;Objetivo;Duracion;Instrucciones
ACT 1;El Eco Musical;4;7;Ninguno;Desarrollar la escucha, la memoria auditiva y la capacidad de imitar patrones sonoros.;10 minutos;El docente realiza un sonido corto con palmas, golpes suaves o la voz. Los niños deben repetir exactamente el mismo sonido. Comenzar con patrones sencillos y aumentar progresivamente la dificultad.
ACT 2;El Director Invisible;5;9;Ninguno;Trabajar atención, coordinación y seguimiento de instrucciones musicales.;15 minutos;Un niño se convierte en director y realiza movimientos que representan sonidos o ritmos. El resto del grupo debe imitarlos. Después de un minuto se cambia de director.
ACT 3;La Estatua Musical;4;8;Ninguno;Desarrollar el control corporal, la atención y la reacción ante cambios musicales.;10 minutos;Los niños se desplazan libremente mientras suena música. Cuando la música se detiene deben quedarse completamente inmóviles. Quien se mueva realiza un pequeño reto musical y vuelve al juego.
ACT 4;Semáforo del Ritmo;4;7;Percusión corporal;Reconocer diferentes velocidades y responder corporalmente a instrucciones musicales.;10 minutos;El docente utiliza tres señales: verde para ritmo rápido, amarillo para ritmo lento y rojo para quedarse quietos. Puede acompañar cada señal con música o percusión corporal.
ACT 5;La Lluvia Musical;3;6;Ninguno;Explorar sonidos corporales y crear una secuencia sonora colectiva.;10 minutos;El docente representa una lluvia utilizando sonidos corporales: frotar manos, chasquear dedos, palmear suavemente y golpear las piernas. Los niños imitan cada sonido mientras la lluvia aumenta y disminuye.
ACT 6;Adivina el Instrumento;5;9;Instrumentos variados;Desarrollar la discriminación auditiva y reconocer diferentes timbres.;15 minutos;El docente toca un instrumento sin mostrarlo. Los niños escuchan atentamente y deben adivinar qué instrumento produjo el sonido. Después pueden explicar qué características escucharon.
ACT 7;La Orquesta de Animales;4;8;Instrumentos de percusión;Relacionar sonidos musicales con animales y desarrollar creatividad sonora.;15 minutos;Asignar un sonido o instrumento a diferentes animales. El docente narra una pequeña historia y los niños deben producir el sonido correspondiente cuando aparezca cada animal.
ACT 8;Ritmo con Nombres;4;8;Percusión corporal;Desarrollar la percepción rítmica utilizando palabras conocidas.;10 minutos;Cada niño dice su nombre marcando una palmada por cada sílaba. Después el grupo repite el nombre siguiendo el mismo ritmo.
ACT 9;El Tren Musical;3;7;Ninguno;Trabajar pulso, coordinación motriz y seguimiento de cambios de velocidad.;10 minutos;Los niños forman una fila como si fueran un tren. Caminan siguiendo un pulso marcado por el docente. El tren puede acelerar, disminuir la velocidad, detenerse y cambiar de dirección.
ACT 10;Detectives de Sonidos;5;10;Ninguno;Desarrollar la escucha atenta y la identificación de sonidos del entorno.;15 minutos;Los niños cierran los ojos durante unos segundos y escuchan los sonidos que los rodean. Después deben mencionar qué escucharon y clasificarlos como fuertes, suaves, cercanos o lejanos.
ACT 11;La Pelota del Pulso;4;8;Ninguno;Mantener un pulso constante y mejorar la coordinación grupal.;10 minutos;Los niños se sientan formando un círculo y pasan una pelota siguiendo un pulso constante marcado por el docente. Gradualmente se aumenta la velocidad.
ACT 12;Ritmo Pregunta y Respuesta;5;10;Percusión corporal;Desarrollar improvisación, memoria rítmica y capacidad de respuesta.;15 minutos;El docente interpreta un patrón rítmico como pregunta. Un niño o todo el grupo responde con otro patrón. Alternar diferentes combinaciones y permitir que los niños creen sus propias respuestas.
ACT 13;La Máquina Musical;5;9;Ninguno;Estimular la creatividad, coordinación y creación colectiva de secuencias.;15 minutos;Un niño inicia realizando un movimiento repetitivo acompañado de un sonido. Los demás se incorporan uno por uno hasta construir una gran máquina musical.
ACT 14;Cazadores de Silencios;4;8;Ninguno;Comprender el contraste entre sonido y silencio y mejorar el control corporal.;10 minutos;Los niños se mueven mientras hay música. Cuando el docente levanta una señal de silencio deben detenerse y permanecer sin producir ningún sonido durante unos segundos.
ACT 15;El Ritmo Secreto;6;10;Percusión corporal;Desarrollar memoria auditiva y reproducción de secuencias rítmicas.;15 minutos;El docente crea un patrón rítmico y lo presenta como un código secreto. Los niños deben memorizarlo y reproducirlo después de unos segundos sin verlo.
ACT 16;Pinta la Música;4;9;Ninguno;Relacionar la música con expresiones visuales y desarrollar creatividad.;20 minutos;Reproducir diferentes fragmentos musicales. Los niños dibujan líneas, formas o colores que representen lo que sienten al escuchar cada fragmento.
ACT 17;Bailando las Emociones;4;8;Ninguno;Identificar emociones mediante música y movimiento corporal.;15 minutos;El docente reproduce diferentes músicas asociadas con alegría, tristeza, calma, sorpresa o energía. Los niños deben representar cada emoción únicamente mediante movimientos.
ACT 18;El Tambor Parlante;5;10;Tambor;Desarrollar improvisación rítmica y expresión musical.;15 minutos;Un niño recibe el tambor y crea un pequeño ritmo. El resto del grupo escucha. Después otro niño responde con un ritmo diferente, creando una conversación musical.
ACT 19;La Carrera de Ritmos;6;10;Percusión corporal;Desarrollar velocidad, coordinación y precisión rítmica.;15 minutos;El docente propone un patrón sencillo. Los niños deben repetirlo. Cada ronda agrega una pequeña variación hasta construir una secuencia cada vez más larga.
ACT 20;¿Qué Sonido Falta?;5;9;Instrumentos de percusión;Trabajar memoria auditiva y reconocimiento de cambios en una secuencia.;15 minutos;Colocar varios instrumentos y tocarlos en una secuencia. Repetir la secuencia eliminando un instrumento. Los niños deben identificar cuál sonido desapareció.
ACT 21;La Banda del Salón;5;10;Instrumentos de percusión;Experimentar con la interpretación grupal y la organización musical.;20 minutos;Dividir al grupo en pequeñas secciones. Cada sección recibe un instrumento o sonido corporal. El docente dirige entradas, pausas y cambios de intensidad para crear una pieza grupal.
ACT 22;El Explorador del Volumen;4;8;Instrumentos de percusión;Comprender y diferenciar sonidos fuertes y suaves.;10 minutos;Los niños tocan instrumentos siguiendo las indicaciones del docente: fuerte, suave, muy fuerte y muy suave. Alternar rápidamente para desarrollar control.
ACT 23;La Escalera de Sonidos;5;9;Xilófono;Comprender la idea de sonidos ascendentes y descendentes.;15 minutos;El docente toca notas que suben o bajan. Los niños indican con sus manos si el sonido sube o baja. Después pueden intentar reproducir pequeñas secuencias.
ACT 24;El Detective del Pulso;5;9;Ninguno;Identificar y mantener el pulso constante de una canción.;10 minutos;Reproducir una canción conocida y pedir a los niños que marquen el pulso caminando, palmoteando o golpeando suavemente las piernas.
ACT 25;El Eco de los Animales;3;6;Ninguno;Desarrollar imitación vocal y exploración de diferentes alturas y timbres.;10 minutos;El docente imita diferentes animales utilizando la voz. Los niños deben repetirlos. Después pueden crear nuevos animales imaginarios y compartir sus sonidos.
ACT 26;La Historia con Sonidos;5;10;Instrumentos variados;Estimular imaginación, expresión sonora y escucha grupal.;20 minutos;El docente cuenta una historia corta y asigna sonidos para determinados acontecimientos. Los niños deben producir cada sonido en el momento adecuado durante la narración.
ACT 27;El Volcán Musical;4;8;Percusión corporal;Experimentar gradualmente con intensidad, velocidad y silencio.;10 minutos;Comenzar con pequeños sonidos corporales como si el volcán estuviera despertando. Aumentar progresivamente la intensidad hasta una gran erupción y terminar regresando lentamente al silencio.
